date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Jan%202024%2014:09:32%20GMT	http://html5.gamedistribution.com/robots.txt		(from )
14:09:34	864/864	---M--	200	added ('OK')	text/html	etag:%221e69d77b0f054857827b682c0eecc367%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/index.html	(from )
14:09:34	824/824	---M--	200	added ('OK')	application/octet-stream	etag:%227fd4d2313b07907bea3e73d8145f13c9%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/appmanifest.json	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/appmanifest.json	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/)
14:09:35	5768/5768	---M--	200	added ('OK')	image/png	etag:%221439d4e8e0ff2c67373adc79f97b9780%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/icons/icon-128.png	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/icons/icon-128.png	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/)
14:09:35	12451/12451	---M--	200	added ('OK')	image/png	etag:%22b5e9e054d01fbed136cb5ab09aa38733%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/icons/icon-256.png	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/icons/icon-256.png	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/)
14:09:36	183/183	---M--	200	added ('OK')	text/css	etag:%222b6635022f3cfca3aaf3870a1e7a1780%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/style.css	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/style.css	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/)
14:09:36	8566/8566	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bddaf3a3c360c1c38c92e6332e21ec2%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/opus.js	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/opus.js	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/)
14:09:36	19598/19598	---M--	200	added ('OK')	image/png	etag:%2279f765d59be0d35a375d310c5326bdf1%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/icons/icon-512.png	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/icons/icon-512.png	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/)
14:09:38	252/252	---M--	200	added ('OK')	application/x-javascript	etag:%22206f770bd2d150f018383de6a4575439%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/start.js	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/start.js	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/)
14:09:38	715/715	---M--	200	added ('OK')	application/x-javascript	etag:%2220c6de512b5183b3da93bca819402d75%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/register-sw.js	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/register-sw.js	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/)
14:09:45	1067315/1067315	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22e4551c92688f49d8d3be57e3cf55ab0f%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/c2runtime.js	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/c2runtime.js	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/)
14:09:46	49/49	---M--	200	added ('OK')	application/xml	date:Sun,%2007%20Jan%202024%2014:09:45%20GMT	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/Error%20fetching%20data.js	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/Error%20fetching%20data.js	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/c2runtime.js)
14:09:48	49/49	---M--	200	added ('OK')	application/xml	date:Sun,%2007%20Jan%202024%2014:09:45%20GMT	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/GET	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/GET	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/c2runtime.js)
14:09:49	1708122/1708122	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2247a36644722240083f03c6ef553bcd54%22	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/data.js	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/data.js	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/c2runtime.js)
14:09:49	49/49	---M--	200	added ('OK')	application/xml	date:Sun,%2007%20Jan%202024%2014:09:48%20GMT	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/loading-logo.png	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/loading-logo.png	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/c2runtime.js)
14:09:50	49/49	---M--	200	added ('OK')	application/xml	date:Sun,%2007%20Jan%202024%2014:09:48%20GMT	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/splash-images/splash-logo.svg	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/splash-images/splash-logo.svg	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/c2runtime.js)
14:09:50	49/49	---M--	200	added ('OK')	application/xml	date:Sun,%2007%20Jan%202024%2014:09:48%20GMT	http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/splash-images/splash-poweredby-512.png	C:/My%20Web%20Sites/stick%20jet/html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/splash-images/splash-poweredby-512.png	(from http://html5.gamedistribution.com/rvvASMiM/cbb7ea34724d4362b38352bfb90ac63c/c2runtime.js)
